country_region,population,year
China,1384689024,2018
India,1296834048,2018
US,329256480,2018
Indonesia,262787408,2018
Brazil,208846896,2018
Pakistan,207862512,2018
Nigeria,203452512,2018
Bangladesh,159453008,2018
Russia,142122784,2018
Japan,126168160,2018
Mexico,125959208,2018
Ethiopia,108386392,2018
Filipinas,105893384,2018
Egypt,99413320,2018
Vietnam,97040336,2018
Congo_Kinshasa,85281024,2018
Iran,83024744,2018
Turkey,81257240,2018
Alemanha,80457736,2018
Germany,68615856,2018
France,67364360,2018
United_Kingdom,65105248,2018
Italy,62246672,2018
Burma,55622504,2018
Tanzania,55451344,2018
South_Africa,55380208,2018
South_Korea,51418096,2018
Spain,49331076,2018
Kenya,48397528,2018
Colombia,48168996,2018
Argentina,44694200,2018
Ukraines,43952300,2018
Sudan,43120844,2018
Algeria,41657488,2018
Uganda,40853748,2018
Iraq,40194216,2018
Poland,38420688,2018
Canada,35881660,2018
Afghanistan,34940836,2018
Morocco,34314128,2018
Saudi_Arabia,33091112,2017
Malaysia,31809660,2018
Venezuela,31689176,2018
Peru,31331228,2018
Angola,30355880,2018
Uzbekistan,30023708,2018
Nepal,29717588,2018
Yemen,28667230,2018
Ghana,28102472,2018
Mozambique,27233788,2018
Ivory_Costa,26260582,2018
Madagascar,25683610,2018
Cameroon,25640964,2018
North_Korea,25381084,2018
Taiwan,23545964,2018
Australia,23470144,2018
Sri_Lanca,22576592,2018
Romania,21457116,2018
Niger,19866232,2018
Malawi,19842560,2018
Burkina_Faso,19742716,2018
Syria,19454264,2016
Kazakhstan,18744548,2018
Mali,18429892,2018
Chile,17925262,2018
Low_Countries,17151228,2018
Guatemala,16581273,2018
Ecuador,16498502,2018
Cambodia,16449519,2018
Zambia,16445079,2018
Chad,15833116,2018
Senegal,15020945,2018
Zimbabwe,14030368,2018
Rwanda,12187400,2018
Guinea,11855411,2018
Burúndi,11844520,2018
Belgium,11570762,2018
Tunisia,11516189,2018
Benim,11340504,2018
Bolivia,11306341,2018
Somalia,11259029,2018
Cuba,11116396,2018
Haiti,10788440,2018
Greece,10761523,2018
Czech_Republic,10686269,2018
Jordan,10458413,2018
Portugal,10355493,2018
Dominican_Republic,10298756,2018
Azerbaijan,10046516,2018
Sweden,10040995,2018
Hungary,9825704,2018
United_Air__Emirates,9701315,2017
Belarus,9527543,2018
Honduras,9182766,2018
Austria,8793370,2018
Tajikistan,8604882,2018
Israel,8424904,2014
Switzerland,8292809,2018
Togo,8176449,2018
Laos,7234171,2018
Hong_Kong,7213338,2018
Serbia,7078110,2018
Bulgaria,7057504,2018
Papua_New_Guinea,7027332,2018
Paraguay,7025763,2018
Libya,6754507,2017
Serra_Leoa,6312212,2018
Salvador,6187271,2018
Lebanon,6100075,2018
Nicaragua,6085213,2018
Singapore,5995991,2018
Eritrea,5970646,2018
Kyrgyzstan,5849296,2018
Denmark,5809502,2018
Central_African_Republic,5745062,2018
Finland,5537364,2018
Slovakia,5445040,2018
Turkmenistan,5411012,2018
Norway,5372191,2018
Ireland,5068050,2018
Congo_Brazzaville,5062021,2018
Costa_Rica,4987142,2018
Liberia,4809768,2018
Oman,4613241,2017
New_Zeland,4545627,2018
Croatia,4270480,2018
Georgia,3997000,2019
Bosnia_and_Herzegovina,3849891,2018
Mauritania,3840429,2018
Panama,3800644,2018
Moldova,3437720,2018
Uruguay,3369299,2018
Porto_Rico,3294626,2018
Mongolia,3103428,2018
Albania,3057220,2018
Armenia,3038217,2018
Kuwait,2916467,2018
Jamaica,2812090,2018
Lithuania,2793284,2018
Namibia,2533224,2018
Qatar,2363569,2018
Botswana,2249104,2018
Gabon,2119036,2018
Macedonia,2118945,2018
Slovenia,2102126,2018
Gambia,2092731,2018
Lesotho,1962461,2018
Latvia,1923559,2018
Guinea_Bissau,1833247,2018
Bahrain,1442659,2017
Mauritius,1364283,2018
East_Timor,1321929,2018
Estonia,1244288,2018
Trinidad_and_Tobago,1215527,2018
Swaziland,1087200,2018
Fiji,926276,2018
Djibouti,884017,2018
Comoros,821164,2018
Equatorial_Guinea,797457,2018
Bhutan,766397,2018
Guyana,740685,2018
Solomon_Islands,660121,2018
Western_Sahara,619551,2018
Montenegro,614249,2018
Macau,606340,2018
Luxembourg,605764,2018
Suriname,597927,2018
Cape_Verde,568373,2018
Brunei,450565,2018
Malta,449043,2018
Belize,385854,2018
Iceland,343518,2018
Bahamas,332634,2018
Barbados,293131,2018
Vanuatu,288037,2018
New_Caledonia,282754,2018
Samoa,201316,2018
Saint_Lucia,165510,2018
Granada,112207,2018
Kiribati,109367,2018
Tonga,106398,2018
Saint_Vincent_and_the_Grenadines,101844,2018
Antigua_and_Barbuda,95882,2018
Seychelles,94633,2018
Andorra,85708,2018
Dominica,74027,2018
Cayman_Islands,59613,2018
Greenland,57691,2018
Saint_Kitts_and_Nevis,53094,2018
Liechtenstein,38547,2017
San_Marino,33779,2018
Monaco,30727,2017
Palau,21516,2018
Tuvalu,11147,2018
Nauru,9692,2018
Falkland_Islands,3198,2016
Vatican,1000,2017
